Test case # 1 AC, Continue..
Test case # 933 AC, Continue..
Test case # 934 AC, Continue..
Test case # 935 AC, Continue..
Test case # 936 AC, Continue..
Test case # 937 AC, Continue..
Test case # 938 AC, Continue..
Test case # 939 AC, Continue..
Test case # 940 AC, Continue..
Test case # 941 AC, Continue..
Test case # 942 AC, Continue..
Test case # 943 AC, Continue..
Test case # 944 AC, Continue..
Test case # 945 AC, Continue..
Test case # 946 AC, Continue..
Test case # 947 AC, Continue..
Test case # 948 AC, Continue..
Test case # 949 AC, Continue..
Test case # 950 AC, Continue..
Test case # 951 AC, Continue..
Test case # 952 AC, Continue..
Test case # 953 AC, Continue..
Test case # 954 AC, Continue..
Test case # 955 AC, Continue..
Test case # 956 AC, Continue..
Test case # 957 AC, Continue..
Test case # 958 AC, Continue..
Test case # 959 AC, Continue..
Test case # 960 AC, Continue..
Test case # 961 AC, Continue..
Test case # 962 AC, Continue..
Test case # 963 AC, Continue..
Test case # 964 AC, Continue..
Test case # 965 AC, Continue..
Test case # 966 AC, Continue..
Test case # 967 AC, Continue..
Test case # 968 AC, Continue..
Test case # 969 AC, Continue..
Test case # 970 AC, Continue..
Test case # 971 AC, Continue..
Test case # 972 AC, Continue..
Test case # 973 AC, Continue..
Test case # 974 AC, Continue..
Test case # 975 AC, Continue..
Test case # 976 AC, Continue..
Test case # 977 AC, Continue..
Test case # 978 AC, Continue..
Test case # 979 AC, Continue..
Test case # 980 AC, Continue..
Test case # 981 AC, Continue..
Test case # 982 AC, Continue..
Test case # 983 AC, Continue..
Test case # 984 AC, Continue..
Test case # 985 AC, Continue..
Test case # 986 AC, Continue..
Test case # 987 AC, Continue..
Test case # 988 AC, Continue..
Test case # 989 AC, Continue..
Test case # 990 AC, Continue..
Test case # 991 AC, Continue..
Test case # 992 AC, Continue..
Test case # 993 AC, Continue..
Test case # 994 AC, Continue..
Test case # 995 AC, Continue..
Test case # 996 AC, Continue..
Test case # 997 AC, Continue..
Test case # 998 AC, Continue..
Test case # 999 AC, Continue..
Test case # 1000 AC, Continue..
Test case # 1001 AC, Continue..
Test case # 1002 AC, Continue..
Test case # 1003 AC, Continue..
Test case # 1004 AC, Continue..
Test case # 1005 AC, Continue..
Test case # 1006 AC, Continue..
Test case # 1007 AC, Continue..
Test case # 1008 AC, Continue..
Test case # 1009 AC, Continue..
Test case # 1010 AC, Continue..
Test case # 1011 AC, Continue..
Test case # 1012 AC, Continue..
Test case # 1013 AC, Continue..
Test case # 1014 AC, Continue..
Test case # 1015 AC, Continue..
Test case # 1016 AC, Continue..
Test case # 1017 AC, Continue..
Test case # 1018 AC, Continue..
Test case # 1019 AC, Continue..
Test case # 1020 AC, Continue..
Test case # 1021 AC, Continue..
Test case # 1022 AC, Continue..
Test case # 1023 AC, Continue..
Test case # 1024 AC, Continue..
Test case # 1025 AC, Continue..
Test case # 1026 AC, Continue..
Test case # 1027 AC, Continue..
Test case # 1028 AC, Continue..
Test case # 1029 AC, Continue..
Test case # 1030 AC, Continue..
Test case # 1031 AC, Continue..
Test case # 1032 AC, Continue..
Test case # 1033 AC, Continue..
Test case # 1034 AC, Continue..
Test case # 1035 AC, Continue..
Test case # 1036 AC, Continue..
Test case # 1037 AC, Continue..
Test case # 1038 AC, Continue..
Test case # 1039 AC, Continue..
Test case # 1040 AC, Continue..
Test case # 1041 AC, Continue..
Test case # 1042 AC, Continue..
Test case # 1043 AC, Continue..
Test case # 1044 AC, Continue..
Test case # 1045 AC, Continue..
Test case # 1046 AC, Continue..
Test case # 1047 AC, Continue..
Test case # 1048 AC, Continue..
Test case # 1049 AC, Continue..
Test case # 1050 AC, Continue..
Test case # 1051 AC, Continue..
Test case # 1052 AC, Continue..
Test case # 1053 AC, Continue..
Test case # 1054 AC, Continue..
Test case # 1055 AC, Continue..
Test case # 1056 AC, Continue..
Test case # 1057 AC, Continue..
Test case # 1058 AC, Continue..
Test case # 1059 AC, Continue..
Test case # 1060 AC, Continue..
Test case # 1061 AC, Continue..
Test case # 1062 AC, Continue..
Test case # 1063 AC, Continue..
Test case # 1064 AC, Continue..
Test case # 1065 AC, Continue..
Test case # 1066 AC, Continue..
Test case # 1067 AC, Continue..
Test case # 1068 AC, Continue..
Test case # 1069 AC, Continue..
Test case # 1070 AC, Continue..
Test case # 1071 AC, Continue..
Test case # 1072 AC, Continue..
Test case # 1073 AC, Continue..
Test case # 1074 AC, Continue..
Test case # 1075 AC, Continue..
Test case # 1076 AC, Continue..
Test case # 1077 AC, Continue..
Test case # 1078 AC, Continue..
Test case # 1079 AC, Continue..
Test case # 1080 AC, Continue..
Test case # 1081 AC, Continue..
Test case # 1082 AC, Continue..
Test case # 1083 AC, Continue..
Test case # 1084 AC, Continue..
Test case # 1085 AC, Continue..
Test case # 1086 AC, Continue..
Test case # 1087 AC, Continue..
Test case # 1088 AC, Continue..
Test case # 1089 AC, Continue..
Test case # 1090 AC, Continue..
Test case # 1091 AC, Continue..
Test case # 1092 AC, Continue..
Test case # 1093 AC, Continue..
Test case # 1094 AC, Continue..
Test case # 1095 AC, Continue..
Test case # 1096 AC, Continue..
Test case # 1097 AC, Continue..
Test case # 1098 AC, Continue..
Test case # 1099 AC, Continue..
Test case # 1100 AC, Continue..
Test case # 1101 AC, Continue..
Test case # 1102 AC, Continue..
Test case # 1103 AC, Continue..
Test case # 1104 AC, Continue..
Test case # 1105 AC, Continue..
Test case # 1106 AC, Continue..
Test case # 1107 AC, Continue..
Test case # 1108 AC, Continue..
Test case # 1109 AC, Continue..
Test case # 1110 AC, Continue..
Test case # 1111 AC, Continue..
Test case # 1112 AC, Continue..
Test case # 1113 AC, Continue..
Test case # 1114 AC, Continue..
Test case # 1115 AC, Continue..
Test case # 1116 AC, Continue..
Test case # 1117 AC, Continue..
Test case # 1118 AC, Continue..
Test case # 1119 AC, Continue..
Test case # 1120 AC, Continue..
Test case # 1121 AC, Continue..
Test case # 1122 AC, Continue..
Test case # 1123 AC, Continue..
Test case # 1124 AC, Continue..
Test case # 1125 AC, Continue..
Test case # 1126 AC, Continue..
Test case # 1127 AC, Continue..
Test case # 1128 AC, Continue..
Test case # 1129 AC, Continue..
Test case # 1130 AC, Continue..
Test case # 1131 AC, Continue..
Test case # 1132 AC, Continue..
Test case # 1133 AC, Continue..
Test case # 1134 AC, Continue..
Test case # 1135 AC, Continue..
Test case # 1136 AC, Continue..
Test case # 1137 AC, Continue..
Test case # 1138 AC, Continue..
Test case # 1139 AC, Continue..
Test case # 1140 AC, Continue..
Test case # 1141 AC, Continue..
Test case # 1142 AC, Continue..
Test case # 1143 AC, Continue..
Test case # 1144 AC, Continue..
Test case # 1145 AC, Continue..
Test case # 1146 AC, Continue..
Test case # 1147 AC, Continue..
Test case # 1148 AC, Continue..
Test case # 1149 AC, Continue..
Test case # 1150 AC, Continue..
Test case # 1151 AC, Continue..
Test case # 1152 AC, Continue..
Test case # 1153 AC, Continue..
Test case # 1154 AC, Continue..
Test case # 1155 AC, Continue..
Test case # 1156 AC, Continue..
Test case # 1157 AC, Continue..
Test case # 1158 AC, Continue..
Test case # 1159 AC, Continue..
Test case # 1160 AC, Continue..
Test case # 1161 AC, Continue..
Test case # 1162 AC, Continue..
Test case # 1163 AC, Continue..
Test case # 1164 AC, Continue..
Test case # 1165 AC, Continue..
Test case # 1166 AC, Continue..
Test case # 1167 AC, Continue..
Test case # 1168 AC, Continue..
Test case # 1169 AC, Continue..
Test case # 1170 AC, Continue..
Test case # 1171 AC, Continue..
Test case # 1172 AC, Continue..
Test case # 1173 AC, Continue..
Test case # 1174 AC, Continue..
Test case # 1175 AC, Continue..
Test case # 1176 AC, Continue..
Test case # 1177 AC, Continue..
Test case # 1178 AC, Continue..
Test case # 1179 AC, Continue..
Test case # 1180 AC, Continue..
Test case # 1181 AC, Continue..
Test case # 1182 AC, Continue..
Test case # 1183 AC, Continue..
Test case # 1184 AC, Continue..
Test case # 1185 AC, Continue..
Test case # 1186 AC, Continue..
Test case # 1187 AC, Continue..
Test case # 1188 AC, Continue..
Test case # 1189 AC, Continue..
Test case # 1190 AC, Continue..
Test case # 1191 AC, Continue..
Test case # 1192 AC, Continue..
Test case # 1193 AC, Continue..
Test case # 1194 AC, Continue..
Test case # 1195 AC, Continue..
Test case # 1196 AC, Continue..
Test case # 1197 AC, Continue..
Test case # 1198 AC, Continue..
Test case # 1199 AC, Continue..
Test case # 1200 AC, Continue..
Test case # 1201 AC, Continue..
Test case # 1202 AC, Continue..
Test case # 1203 AC, Continue..
Test case # 1204 AC, Continue..
Test case # 1205 AC, Continue..
Test case # 1206 AC, Continue..
Test case # 1207 AC, Continue..
Test case # 1208 AC, Continue..
Test case # 1209 AC, Continue..
Test case # 1210 AC, Continue..
Test case # 1211 AC, Continue..
Test case # 1212 AC, Continue..
Test case # 1213 AC, Continue..
Test case # 1214 AC, Continue..
Test case # 1215 AC, Continue..
Test case # 1216 AC, Continue..
Test case # 1217 AC, Continue..
Test case # 1218 AC, Continue..
Test case # 1219 AC, Continue..
Test case # 1220 AC, Continue..
Test case # 1221 AC, Continue..
Test case # 1222 AC, Continue..
Test case # 1223 AC, Continue..
Test case # 1224 AC, Continue..
Test case # 1225 AC, Continue..
Test case # 1226 AC, Continue..
Test case # 1227 AC, Continue..
Test case # 1228 AC, Continue..
Test case # 1229 AC, Continue..
Test case # 1230 AC, Continue..
Test case # 1231 AC, Continue..
Test case # 1232 AC, Continue..
Test case # 1233 AC, Continue..
Test case # 1234 AC, Continue..
Test case # 1235 AC, Continue..
Test case # 1236 AC, Continue..
Test case # 1237 AC, Continue..
Test case # 1238 AC, Continue..
Test case # 1239 AC, Continue..
Test case # 1240 AC, Continue..
Test case # 1241 AC, Continue..
Test case # 1242 AC, Continue..
Test case # 1243 AC, Continue..
Test case # 1244 AC, Continue..
Test case # 1245 AC, Continue..
Test case # 1246 AC, Continue..
Test case # 1247 AC, Continue..
Test case # 1248 AC, Continue..
Test case # 1249 AC, Continue..
Test case # 1250 AC, Continue..
Test case # 1251 AC, Continue..
Test case # 1252 AC, Continue..
Test case # 1253 AC, Continue..
Test case # 1254 AC, Continue..
Test case # 1255 AC, Continue..
Test case # 1256 AC, Continue..
Test case # 1257 AC, Continue..
Test case # 1258 AC, Continue..
Test case # 1259 AC, Continue..
Test case # 1260 AC, Continue..
Test case # 1261 AC, Continue..
Test case # 1262 AC, Continue..
Test case # 1263 AC, Continue..
Test case # 1264 AC, Continue..
Test case # 1265 AC, Continue..
Test case # 1266 AC, Continue..
Test case # 1267 AC, Continue..
Test case # 1268 AC, Continue..
Test case # 1269 AC, Continue..
Test case # 1270 AC, Continue..
Test case # 1271 AC, Continue..
Test case # 1272 AC, Continue..
Test case # 1273 AC, Continue..
Test case # 1274 AC, Continue..
Test case # 1275 AC, Continue..
Test case # 1276 AC, Continue..
Test case # 1277 AC, Continue..
Test case # 1278 AC, Continue..
Test case # 1279 AC, Continue..
Test case # 1280 AC, Continue..
Test case # 1281 AC, Continue..
Test case # 1282 AC, Continue..
Test case # 1283 AC, Continue..
Test case # 1284 AC, Continue..
Test case # 1285 AC, Continue..
Test case # 1286 AC, Continue..
Test case # 1287 AC, Continue..
Test case # 1288 AC, Continue..
Test case # 1289 AC, Continue..
Test case # 1290 AC, Continue..
Test case # 1291 AC, Continue..
Test case # 1292 AC, Continue..
Test case # 1293 AC, Continue..
Test case # 1294 AC, Continue..
Test case # 1295 AC, Continue..
Test case # 1296 AC, Continue..
Test case # 1297 AC, Continue..
Test case # 1298 AC, Continue..
Test case # 1299 AC, Continue..
Test case # 1300 AC, Continue..
Test case # 1301 AC, Continue..
Test case # 1302 AC, Continue..
Test case # 1303 AC, Continue..
Test case # 1304 AC, Continue..
Test case # 1305 AC, Continue..
Test case # 1306 AC, Continue..
Test case # 1307 AC, Continue..
Test case # 1308 AC, Continue..
Test case # 1309 AC, Continue..
Test case # 1310 AC, Continue..
Test case # 1311 AC, Continue..
Test case # 1312 AC, Continue..
Test case # 1313 AC, Continue..
Test case # 1314 AC, Continue..
Test case # 1315 AC, Continue..
Test case # 1316 AC, Continue..
Test case # 1317 AC, Continue..
Test case # 1318 AC, Continue..
Test case # 1319 AC, Continue..
Test case # 1320 AC, Continue..
Test case # 1321 AC, Continue..
Test case # 1322 AC, Continue..
Test case # 1323 AC, Continue..
Test case # 1324 AC, Continue..
Test case # 1325 AC, Continue..
Test case # 1326 AC, Continue..
Test case # 1327 AC, Continue..
Test case # 1328 AC, Continue..
Test case # 1329 AC, Continue..
Test case # 1330 AC, Continue..
Test case # 1331 AC, Continue..
Test case # 1332 AC, Continue..
Test case # 1333 AC, Continue..
Test case # 1334 AC, Continue..
Test case # 1335 AC, Continue..
Test case # 1336 AC, Continue..
Test case # 1337 AC, Continue..
Test case # 1338 AC, Continue..
Test case # 1339 AC, Continue..
Test case # 1340 AC, Continue..
Test case # 1341 AC, Continue..
Test case # 1342 AC, Continue..
Test case # 1343 AC, Continue..
Test case # 1344 AC, Continue..
Test case # 1345 AC, Continue..
Test case # 1346 AC, Continue..
Test case # 1347 AC, Continue..
Test case # 1348 AC, Continue..
Test case # 1349 AC, Continue..
Test case # 1350 AC, Continue..
Test case # 1351 AC, Continue..
Test case # 1352 AC, Continue..
Test case # 1353 AC, Continue..
Test case # 1354 AC, Continue..
Test case # 1355 AC, Continue..
Test case # 1356 AC, Continue..
Test case # 1357 AC, Continue..
Test case # 1358 AC, Continue..
Test case # 1359 AC, Continue..
Test case # 1360 AC, Continue..
Test case # 1361 AC, Continue..
Test case # 1362 AC, Continue..
Test case # 1363 AC, Continue..
Test case # 1364 AC, Continue..
Test case # 1365 AC, Continue..
Test case # 1366 AC, Continue..
Test case # 1367 AC, Continue..
Test case # 1368 AC, Continue..
Test case # 1369 AC, Continue..
Test case # 1370 AC, Continue..
Test case # 1371 AC, Continue..
Test case # 1372 AC, Continue..
Test case # 1373 AC, Continue..
Test case # 1374 AC, Continue..
Test case # 1375 AC, Continue..
Test case # 1376 AC, Continue..
Test case # 1377 AC, Continue..
Test case # 1378 AC, Continue..
Test case # 1379 AC, Continue..
Test case # 1380 AC, Continue..
Test case # 1381 AC, Continue..
Test case # 1382 AC, Continue..
Test case # 1383 AC, Continue..
Test case # 1384 AC, Continue..
Test case # 1385 AC, Continue..
Test case # 1386 AC, Continue..
Test case # 1387 AC, Continue..
Test case # 1388 AC, Continue..
Test case # 1389 AC, Continue..
Test case # 1390 AC, Continue..
Test case # 1391 AC, Continue..
Test case # 1392 WA
test/a.exe output:
['-20']
test/sample.exe output:
['1']
